HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2016-09-19,Nifty Bank,Nifty Bank,19892.2,20014.4,19849.65,19906.00
2016-09-20,Nifty Bank,Nifty Bank,19957.35,19964.3,19797.5,19852.00
2016-09-21,Nifty Bank,Nifty Bank,19902.7,19937.85,19749.95,19828.00
2016-09-22,Nifty Bank,Nifty Bank,20153.1,20264.8,19996.9,20109.00
2016-09-23,Nifty Bank,Nifty Bank,20136.75,20137.55,19861.45,19901.00
2016-09-26,Nifty Bank,Nifty Bank,19792.2,19794.15,19568.35,19591.00
2016-09-27,Nifty Bank,Nifty Bank,19652.95,19696.45,19479.15,19518.00
2016-09-28,Nifty Bank,Nifty Bank,19542,19700,19509.65,19653.00
2016-09-29,Nifty Bank,Nifty Bank,19762.3,19793.2,19059.05,19183.00
2016-09-30,Nifty Bank,Nifty Bank,19116,19330.85,19085.2,19285.00
2016-10-03,Nifty Bank,Nifty Bank,19395.55,19611.25,19363.95,19589.00
2016-10-04,Nifty Bank,Nifty Bank,19641.75,19747.45,19527.35,19672.00
2016-10-05,Nifty Bank,Nifty Bank,19801.3,19816.5,19492.8,19536.00
2016-10-06,Nifty Bank,Nifty Bank,19518.55,19570.7,19325.8,19395.00
2016-10-07,Nifty Bank,Nifty Bank,19398.05,19456,19318,19400.00
2016-10-10,Nifty Bank,Nifty Bank,19489.5,19501.45,19351.35,19378.00
2016-10-13,Nifty Bank,Nifty Bank,19295.55,19295.55,18824.4,18954.00
2016-10-14,Nifty Bank,Nifty Bank,19016.7,19053.5,18926.15,19020.00
2016-10-17,Nifty Bank,Nifty Bank,19136.3,19241.75,19002.45,19070.00
2016-10-18,Nifty Bank,Nifty Bank,19174.7,19511.8,19162.85,19495.00
2016-10-19,Nifty Bank,Nifty Bank,19570.05,19576.3,19322.75,19412.00
2016-10-20,Nifty Bank,Nifty Bank,19493.9,19722.85,19479.25,19658.00
2016-10-21,Nifty Bank,Nifty Bank,19636.4,19744,19516.4,19710.00
2016-10-24,Nifty Bank,Nifty Bank,19763.85,19897.85,19751.65,19807.00
2016-10-25,Nifty Bank,Nifty Bank,19907.7,19922.7,19711.95,19834.00
2016-10-26,Nifty Bank,Nifty Bank,19581.7,19725.9,19434.5,19483.00
2016-10-27,Nifty Bank,Nifty Bank,19452,19544.2,19252.1,19514.00
2016-10-28,Nifty Bank,Nifty Bank,19507.85,19589.7,19362,19555.00
2016-10-30,Nifty Bank,Nifty Bank,19657.8,19666.8,19484.65,19523.00
2016-11-01,Nifty Bank,Nifty Bank,19578.6,19591.65,19417.3,19458.00
